,low_comment_True
52,"찾아라 비밀의열쇠 미로같이 얽힌 모험들 
현실과 또 다른 세상 환상의 디지털 세상 
펼쳐라 마음속날개 이대로 멈출 순없어. 빛나는 희망을 싣고 어둠 뚫고나가자 
어쩌다 함정속에 빠질지라도 위기의파도속에 갇힐지라도 
생각한 대로 이루고싶어 우리가가는그곳 어디든 
[디지몬 친구들 Let's go Let's go 세상을 구하자 Let's go Let's go 승리는 언제나 우리의 것 Let's go, go go]"
53,"누가 먼저 퇴학 될것인가
.
.
.

바스코 VS 공주영 VS 이경우"
54,메이헨 쏘고 '저놈이 스파이에요.' 한다에 내 덴마 독자 역사를 건다. 
55,드디어 반장이 죽는건가
56,한 2001년쯤 나왔으면 대박 쳤겠네 ㅋ
57,드디어 주인공 등장! 10점 인심 썼다!
58,여자한테 찝쩍거리는건 개호구 같지만 동생들 피해 안가게 하려고 희생 하는 모습이 정말 멋지네
59,내용이 산으로 간 만큼 배경도 산이라서 좋네요
60,이틀뒤 입대인데 베뎃좀 한번만 하게해주세요 군대가기전 마지막 소원입니다
61,팩트:조회수와 별점은 상승중이며 만화는 재미있다.
62,갑작스레 인생폭행 당한 독자들이 혼란스러워 하고 있다.
63,짜장면은 좋아요 짬뽕은 좋아요
64,"역시 기본 줄기가 엉성한 작품은 금방 무너진다. 진작에 베도 때부터 알았지비. 게임이 현실에 구현되면 어떨까라는 아이디어 자체는 좋았지만 그건 발상일 뿐. 생각의 정리가 필요해 보였다. 그리고 이 작품은 슬쩍슬쩍 흘려가야 더 재밌을 모에요소나 BL코드같은 유머러스한 부분을 오히려 작가가 전면에 내세움으로써 단순히 일회성 희희덕거리는 빈곤한 만화로 전락해버렸다. 

  점프만화의 3강 중 하나였던 블리치가 몰락한 이유도 이 만화와 비슷하다. 우연치 않게 강해진 주인공은 물론 멋있지만, 목적의식이 없는 주인공의 만화는 독자의 목적 또한 불분명하게 한다. 더게이머의 주인공의 목적은 뭘까? 능력치를 개발하는 것은 그 중간과정일 것이다. 원피스의 루피는 해적왕을 꿈꿨고, 닌자 나루토는 호카게를 꿈꿨다. 신의탑의 밤은 탑의 최상층을 꿈꾸고, 헬퍼의 장광남은 전 애인을 위해 몸을 바친다. 주인공의 목적의식을 나타내는 게 이 슬럼프 아닌 슬럼프의 돌파구다"
65,진짜 무서운 사람은 메이헨이다.. 선대 공작 때부터 살아있는 고산가 사람은 메이헨 밖에 없음 ㅋㅋㅋㅋ
66,"미국을 부러워하는 한국인, 그러나 한국인의 교육방식을 따라가고 싶어하는 미국. 만화에서 미국과 한국을 동시에 비판하며, 자신의 삶에 만족하고 살아라 라고 말하고 있는 것 같다."
67,민호한테 인정받고싶어서 자신의 모습이 추하게 변한걸 알면서 민호한테 고백...?  어.....;;?
68,움...지금까지 보기에는 그냥 소재로만 북한을 가져왔지 딱히 미화라던가 그런 부분은 없는거 같은데...미화라고 보시는 분들은 어디가 미화인지 좀 알려주세요..!진짜 알고싶어서 여쭤봅니당
69,???: 아 괜찮아요. 이게 내 연재패턴이에요. 간만에 연재하니까 반갑네ㅎㅎㅎ
70,작가님 반장좀 없애시면 안될까요‥그냥 여기서 반장 내버려두고 사고사로 처리해도 괜찮은방법중 하나일거같은데‥
71,"켈헬람 의외로 쉽게 패배를 인정하네ㅋㅋ
그나저나 야마 저렇게 조종당했는데 전신의태하면 풀려나겠지?"
72,베댓되면 담임한테가서 쌤은 왜 투블럭 거꾸로 했는지 물어본다
73,논란하고 별개로 작가님 작화 실력이 거의 예술의 경지네요 정말 재밌는 작품이에요
74,이 댓이 베뎃이 되면 광화문에 나가서 쌈바를 하겠습니다
75,"8월 26일 육군입대를 앞두고 있는 독자입니다.
군 입대전에 난새가 핸드폰을 찾을 수 있을까요??"
76,가이린 아그네스 아슬린 다들 사람 아무렇지 않게 잘 죽이네... 줄여서 가그린이라고 하자
77,걍 대두새1끼 평생 솔로로 살다가 고독사하는 전개였으면 좋겠다
78,저래놓고 진짜 아니면 어카냐 근데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ상상하니까 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
79,근데 그거 암?? 저 크기로 변하면 떨어져도 안죽음 그만큼 가벼워졌기 때문이지 10층이든50층이든 개미 떨궈도 안죽어~~ 작가양반
80,이번에도 용두사미 엔딩이면 평생 그 꼬리표 못땝니다 작가님
81,단순해 보이지만 이건 무려 세번의 정시연재가 합쳐진 콤비네이션!
82,비스트모드 ㅇㅈㄹ ㅋㅋㅋ
83,하기파 모여요ㅠㅠ..
84,와..독자들이 이리도 순진하구나 ㅋㅋ 비서대역 떡밥을 계속 뿌려왔는데 저 연출을 김민혁이 진짜 되살아난거라고 받아들이네 ㅋㅋㅋㅋ
85,"그럼 어떡하냐고 답답한분들 방법을 알려드릴게요.
네이버스토어(혹은 시리즈앱)에서 격기3반(챔프연재본)을 결재해서보세요. 
페이지흑백형식이고 분량 안적습니다. 
본래 페이지연출을 고려한 만화라서 
훨씬 가독성도 좋고 분량,재미 전부 웹툰보다 좋아요. 
(현재 웹툰에 무료로 풀린 분량에서 이어보시려면 챔프본35화부터 보시면 됩니다. 
미리보기로 풀린 결승종료편부터 이어보시려면 챔프본38화부터.)
그렇게 챔프연재본을 전부다 보게 되면 아직 한화를 더 볼 수 있는데 
이건 격기3반만 따로 볼 수 없고 챔프잡지최신호를 구매해서 봐야합니다. 
(현재기준 11/30일날 발간한 챔프126호) 거기에 실린 게 가장 최신화 격삼이에요.
웹툰에 올라오는 분량은 작가님은 거의 반년전에 그린거에요. 
그러니 여기서 아무리 화내셔도 작가님이 어떻게 할 수 있는게 아닙니다.ㅜ 
분량 뭐라고 하시는 분들 저도 이해하는데 
보다 답답해서 적어요.
사람들이 볼수있게 베댓만들어주세요.ㅜ"
86,거기 글고 봉지은 얼굴 만지는거 진심 더러웠다 손
87,아그네스 주교님의 일과 보고 : 아그네스 주교님은 사람을 막 주교
88,"근데요..이 툰이 대부분의 사람들 취향에 맞지 않는 개그요소가 많긴 하지만 그렇다고 돼지 임총 쥬니 같은애들 처럼 기본적인 실력이 수준미달인건 아니잖아요, 어떤 사람들은 이걸 재밌게 감상할 수도 있는거구요. 원래 네이버가 다양한 사람들의 다양한 취향들을 고려해서 가지각색의 웹툰을 가져오니까 각자 자기 취향에 맞게 웹툰을 보면 된다고 생각해요. 이 웹툰이 취향에 맞는 사람이 정말 극극소수여서 순위가 바닥을 친다 해도 욕먹을 만한 이유가 없다면 굳이 들어와서 비난할 필요는 없지 않을까요. 조회수가 너무 낮아 수익이 너무나도 안난다면 네이버가 대중적인 툰을 더 데려오겠죠. 기본적인 수준이 갖춰지지 않은건 아니니까 비판해야 할 때 비판해야 할 데에 하는게 맞는 것 같아요."
89,내가 옛날에 저 애꾸 조수아의 눈일꺼같다고 댓글쓴적 있는데 추천 눌러준 한명 고맙다. 눈은 두개로 알고 있는데 하나는 어딨을까
90,심연의 하늘때 버릇 나오네ㅋㅋㅋㅋㅋ
91,이태성 살빼거 보고 이진성인줄..
92,밤이 깊었습니다 유나파는 손을들어주십시요
93,"1. 선일vs시연 싸운다
2.  반장이 싸움에 싸움을 말린다.
3.  선일이랑 시연이가 실수로 반장을때린다
4.  반장이 죽는다"
94,근데 확실한건 쿠키는 님들이 좋아서 쓰는거지 작가님 질못이 아님
95,말려 서준 X신아
96,친구의리보소..??
97,귀신이이쁘장하네 용서해준다
98,와.. 밤 붉은바리 의태 엄청 강하네..
99,엄마 옷사드리자(1/181818273763636362)
100,진모리 절대신인데 그럼 진모리를 숭배하면 되는거 아녓냐
101,"만약 국밥이 돼지국밥이라면, 저건 그들 나름의 따스한 배려일지도..."
102,저 투명한놈 물리데미지 들어가는거였나 ㅋㅋ
103,이야기 급완결아님. 백경대 앞에서 다이크가 쎈척하는 그 장면에 다가가는거지.
104,근데 리스크없이 계속 리와인드 할수있으면 개사기 아님??
105,오수는진짜 가면갈수록 추해지는건 기분탓?
106,걍 재밌으니까 닥치고 보는 사람 손
107,"2015년 이후로
주인공 활약이 없음

레벨업 노가다 노가다 50화
골렘 싸움 10화
주인공 묻힘 20화"
108,"내일 살것.
  
닭,
고추장,
고추가루,
간장,
감자,
당근,
 
까먹을까봐 메모좀"
109,첫번째베뎃 반장같은여자만나라
110,난 처음에 쁘랙딱이 그랬다고 했을때 그 백인이 지가 가지고 모른척하는 건줄
111,순간 스크롤 지혼자 내려진줄 알고 당황
112,슬래쉬쉑 속좁은거보소 ㅋㅋㅋㅋ
113,이델 너 이새끼...... 삼촌은 너때문에 후배 다리사이도 기어가고 종단 비밀도 팔고 바닥먹방도 하고 별의 별거 다했는데 뭐?.... 노예 생활 하느라 바빠....?????
114,표지보고 10점이 자동으로 갔소이다
115,오늘요약: 구현화 실행
116,"네이버가 놓힌 대작들 모음
잘가 , 좋은 아침이야 (다른 곳 연재중)
리얼 마이웨이 (피키연재중)
과격자매단 (다음연재중 , 베도연재 당시 인기 정말 많았음)
천진난만 알바인생 (피키에서 완결)
여고를 아느냐 (피키에서 완결 )
달콤쌉쌀 민트 (연중 후 유일무이 로맨스 연재중)
연애싫어 (다음완결)
도담도담 (연중후 네이버에서 연재중)
언데드 의사 김해골 (피키완결)
초식고등학교 (다른 곳 연재중 , 인기 정말 리얼 개 많았음 )
우리 남매는 ? (레진연재중)
등등.. 제목 확실치 않은것도 있어요
위에 다 베도 1위 찍었던 거다 ㅋㅋㅋㅋ네이버 정신차리자 제발 ㅠㅠㅠㅠ 개빡친다 ,,"
117,지금 이 분량으론.. 조금 염치..없으려나?
118,주인공 원래 저렇게 쎈캐였나 ㅋㅋㅋㅋ
119,모든 사건의 발단은 노아 때문인 것 같다... 제대로 알지도 않고 보배 오해한 것부터 억지로 보배랑 지훈이 붙이고 노아 고등학교 때 당했던 싫어하던 행동들을 자기가 다 하고 있네
120,사다함님의 빠른 컴백을 위해 모든 회 만점 캠페인 실시합시다. 도와주세요!!!! 여러분?!!!
121,진짜 어머니만 현실캐릭터 맘에든다
122,ㅠㅠ 아고... 고양이를 구하고 싶은 마음은 알겠지만.. 너무 겁도 없고 생각도 부족한거 아니니..ㅜㅜ
123,오수 진짜 보배랑 비교할때마다 소름돋는다....
124,"몇 있지도 않는 동태인맥은 미오땜에 다 박살나네요. 시즌2에선 은주랑 자기랑 싸우면 누구 택할거냐면서 이간질하더니 동태은인인 지은누나한테도 싸움 걸어서 동태랑 틀어지게 만들고 ㅋㅋㅋ 
말이 여친이지 사실상 동태한테 독이네 독.. 근데 ㄹㅇ 살땜에 깊숙히 안찔린거 신기"
125,토할때 토가 맛있어보여서 키스한듯
126,그 분위기 깨서 죄송한데 남주가 햇빛 가려줄때 저만 겨땀냄새 걱정함...?
127,눈부신 초록의 노래처럼 향기처럼
128,그럼이번엔 5.7이 아니라 9.9를 만들어 봅시다 독자여러분
129,이런전개면 쿠키 당분간 안구워야겠다 ㅎㅎ
130,커밍순 반대말이 양영순이라던데
131,"작가님 그냥 쉬었다오세요.....
장기 휴재한다고 하시구 세이브 원고도 좀 만들어놓으시구요....
만들어놓은 원고도 독자들이 재밌어할지 다시한번 고민도 해보시구요....

1일 늦어지면 2일 늦어지고, 2일 늦어지면 3일 늦어지고, 그러다 1주일 넘게 늦어지고....
지각이라는 강박관념에 휩싸이면 만화는 재미 없어질 수 밖에 없어요....

사람이라는게 여유가 없으면 슬럼프가 오기 마련입니다.
마음의 여유를 갖고 그리시면서, 예전 다이스의 1위 전설을 다시 만들어주세요. 지금 의리로 보는 독자들에게 뒤통수 한번 제대로 날려주세요^^"
132,지로의 폭풍간지와 양형의 행보가 너무 모순되어서 인지부조화가 일어난다... ㅠㅠㅠㅠ
133,결혼 두 번 하면 가능
134,"이번 화의 BEST 댓글이 아직 없습니다.
전체 댓글에서 좋아욧를 눌러 BEST 댓글을 만들어주세요."
135,"백신 꽂는게 빠를까 원피스 완결이 빠를까 아 이건 좀 아니고
백신 꽂는게 빠를까 내가 군대가는게 빠를까 (주륵)"
136,이세상에 잠시왔다갔다는 소설이 야설이라니 역시 양형 클라스ㅋㅋ
137,"태어나길 키작고 못나더라도 노력여하에 따라 바뀔 수 있는데 지가 바뀌려고 안하고 공부나 운동이나 뭐든 지가 노력하는게 없는데 사람들이 자신에게 절로 다가와주길 바라냐 지는 사람대할때 지보다 못나보이는 놈들 앞에서 허세떨고 일진들이랑은 같이 다니려고 하는데 진짜 친구가 생기길 바라는 것도 개웃기네 ㅋㅋ
진짜 캐릭터 잘만들었다 리얼 찌질이... 캐릭터에 이렇게 암걸려본적 오랜만이야"
138,이제 아주 산으로 가는구나....
139,카카오페이지에 나올법한 웹툰인데
140,진짜 다음주에 찬후과거편나오기만해봐요 ㅡㅡ
141,모텔
142,옆동네 돼지만화 보단 성의 있어 ...
143,점마가 나중에 엑스 통수친다에 내 롤 계정건다
144,지방이라 하믄 우리 함선농이 아이가...
145,굉장해. 요일간 격벽을 관통하다니...
146,"동태의 의도는 변호할 수 없는 사회의 위협이다. 
그는 다이스를 이 사람들에게 데려왔고, 그들에게 더 나은 삶을 약속했으며, 미오를 핑계로 정당화하려다가 이 같은 살마들을 냉혹하게 죽이고 있다. 그는 악당이다. 
by 외국 다이스 사이트 댓글 펌"
147,와... 근데 밤 진짜 세지긴 한듯 랭커를 날려버리네 ㅋㅋㅋ
148,작가양반 자꾸이러면 레시피갖고올수가있다
149,드디어 이 에피소드가 끝났네요 여러모로 마음에 안드는 에피소드였지만 이 에피소드늘 계기로 다음에피소드는 더 발전됬길바래용
150,히발ㅡㅡ 손오공이 지구에서 나메크성 갈때도 이거보다 빨리갔음
151,"애들 말하는게...너무....어색해...작화는 진짜 예쁜데...
마요네즈 짬뽕 먹는 느낌"
152,아그네스의 하우투킬 ㅋㅋㅋㅋㅋㅋ
153,누군가 행성 전체에 퀑능력을 발휘하고 있다
154,님들 근데 이거 지상최대공모전 수상작이에요..
155,"다이스를 4년동안 꾸준히 미리보기 해온 독자입니다.
초반엔 스토리 참신하고 그림체 점점 예뻐지고해서 좋아하던 웹툰인데 이렇게 스스로 나락으로 떨궈지는 길을 점점 가네요..

미리보기 안하는 사람들은 왜 지각이라 뭐라하냐 그러겠지만
저처럼 미리보기 꾸준히 해온 사람들은 당연히 열불나죠

지각을 하던 분량이 적던 스토리가 이상하던
오래봐온 독자로써 좋아하는 ' 다이스 ' 란 웹툰을 보는건데

미리보기 지각이랑 스토리 전개때문에 욕먹어가면서 연재되고있는게 안쓰럽네요

그냥 푹 쉬시고 원고 많이 만들어서 돌아오시는게 좋으실거같아요 

몇마디 끄적여 본다는게 긴글이 되었네요

건강 잘챙기시고 블로그에다가라도 자세한 공지사항 적어주셨으면해요

다이스가 다시 옛날의 전성기때처럼 활약을 찾기를바라며."
156,카이저아들인거 알고있었눜ㅋㅋㅋㅋ
157,저 떡은 얼마나 소가 꽉꽉 들었길래 돌멩이랑 무게가 같은거야ㅋㅋㅋㅋ
158,유미라 이제 기억찾고 울고불고해봐야 감동 하나도없을듯 ㄹㅇ 추함의 끝을보여주네 
159,"이제 처음보시는 분들은 잘모르시고,정주행하시는 분들은 잘 알지도..사실 특영반 인기 대단했어요.근데 어느날부터 작가님이,흔히 말하는 지각을 하셨죠.근데 뭐,이 퀼에 1,2시간 지각은 당연지사 넘어갔죠.근데 점점 그 텀이 늘어났어요.계속 지각하셨죠.4,5시간은 기본이었고,10몇시간으로 늘어나고,결국 수요웹툰이 금요일에 올라왔죠."
160,지금 엘이 돼갈량한테 쪼인트나 까이던 그 엘이 맞나
161,어머 어머니 멋져요
162,메로나 필요 없으니까 분량 늘려와라.
163,어머니 분량이 오늘도 짜죠?그냥 보세요
164,"자림이는 진짜 자기남친 공주영 얼마나 좋은 남자친구인지 모르고 귀한사랑인걸 모른다... 보통사랑은 사랑하는상대방이 자신을 가장 사랑해주고 우선해주고 생각해주길바라지만 막상 그렇게 알아서 저렇게 진하게 사랑해주는사람 보기어렵다 .. 공주영이 정말 좋은 남친이란걸 조금이라도 빨리 눈치채고 느껴야 나중에 후회가 작아질거여 자림아...항상 공주영이 너는 표현안해도 계속 실실거리면서 좋아해줄것같지? 한순간이다. 이때까지 자림이가 공주영한테 저렇게 밝게 진실되게 웃어주는 모습 본적없다. 근데 뜬금없이 갑자기등장한 남사친한테 대하는거랑 표정봤음??와.. 주영이한테는 한번도 안지어주던 저런밝은웃음 바로 지어주네.. 그것고 남친옆에두고. 참.. 딱하다 주영이가 거기다가 여기댓글에서 자림이가 여자란이유만으로 실드해준 사람이 보면 몇몇보이던데 둘다사람이고 사랑받을자격있는 연인입니다.. 암튼 왕자림 너무하다 언제까지 모태솔로였다, 표현 못해서그런거다라는 이유만으로 피해갈꺼냐? "
165,"작가양반
엄한 사람이 죄지은 사람 대신 고통 받는거 너무 오래 보고 있자니 힘들어"
166,늦어서 죄송하다는 말도 없으시고 목요웹툰임에도 불구하고 금요웹툰이 올라오기 몇분전에 올라온다는게 상식적으로 이해가 잘 가지않네요. 늦으셨으면 사과를 하시고 왜 늦으셨는지 말씀을 해 주셔야 이해라도 하겠지만 이건 아니라고봅니다. 더군다나 분량도 그다지 많지않은편이구요. 이 웹툰을 즐겨보는 독자이기 때문에 말씀드리는겁니다. 다음엔 제시간에 부탁드리겠습니다.
167,네이버에서 이게 제일재밌다
168,분뇨가 차오르면 아담은 뺴뺴로가 되는것인가
169,"추측 해보자면 수비팀은
무영이와 동태일 확률이 높습니다
기본적으로 공격팀이 수비팀보다는 많은 인원이
모일수있는 역할이기때문이고 이 게임에서 지면
프로필이 드러나게되죠 따라서 무영이는 수비팀에 들어가
공격팀을 지게 되는 상황이 되어 8명의 능력 프로필이 들어나게되고 자기에게 없는 능력을 가진 다이서를 사냥할꺼같네요"
170,제 베스트댓글이 사라졌습니다.. 네이버의 조작댓글의 실태를 적나라하게 보여주네요! 많은분들이 볼 수 있게 올려주세요!
