,low_comment_False
18,"지금 별점 낮게주는 사람들 전부 뭐 초딩 어그로 취급하는 사람들 생각을 좀 해보시길. 지금까지 네이버 웹툰중에 정말 아무런 이유 없이 별점이 5점 아래로 내려간 웹툰이 있었는지. 전부 뭔가 이유가 있으니까 별점이 까였지. 이번 더 게이머 별점 테러는 성상영 작가의 말도 안 되는 수익 분배가 그 기폭제가 된 거다. 성상영 작가가 더 게이머 말고도 새로운 웹툰을 연재하겠다고 카페에 구인 공고를 올렸는데, 거기서 요구하는 게 그림작가 6 스토리 작가 4의 정산 비율이었다. 정상 아니냐고? 물론 제대로 된 스토리 작가라면야 욕 먹을 정산비율은 아님. 그런데 성상영 작가가 '스토리 작가'로써 어떤 역할을 하는 줄 암? 자기가 '과거 완결까지 냈던' 소설책을 툭 던져주고 그림작가한테 그리라고 시키는 거다. 이걸 가지고 6:4를 요구했다는 말임 그림작가한테 ㅋㅋㅋ 그냥 소설 툭 던져주고, 그것도 지금 절찬리에 쓰는 것도 아닌 '과거 완결까지 냈던'소설을 툭 던져주고서 만화 그리게 시키는 거임."
19,이거 내리고 블레이드 노트 연재해주면 용서해줄듯
20,쿠키구워서 개줬네
21,기술도 훔쳐가 옷도 훔쳐가 미래도 훔쳐봐 딘은 그냥 도둑새끼아니냐?
22,딘 용포가 지꺼인줄 아네 개 띠껍다
23,뭐야 몇주째 같은 내용에서 발전 1도없네 안봄
24,40쪽 실화냐?진짜 많이 참았는데 개애바다.
25,이젠 보면서 좀 짜증이 나려 그런다. 현실적인 면을 보여주려는건 알겠지만 굳이 만화에서까지 이렇게까지 극대화를 시킬 필요가 있나 싶네. 보면서 기분만 나빠지면 만화를 왜 보겠나.. 물론 동화책처럼 하하호호 잘 살았답니다는 몰라도 적어도 평범하게는 살게 해줘야될거 아니야 좀
26,매주 지각에......스토리도 질질 끌며 분량도 못 뽑고.....어느땐 하늘만 날다 끝나고 도착하고서 끝나고 이젠 미오찾으려고 뛰어다니다가 미오찾고 끝나네 이정도면 하루3컷으로 표현가능하지 않나? 진짜 애정있게 보던 웹툰이었는데 이번화 계기로 다음주부터 쿠키 구우면 안돼겠다는 생각이 확신이 들었어요 이런 작가한테는 200원밖에 안되는 작은돈도 아깝다는걸 느끼고 갑니다
27,"작가가 진짜 잔머리 잘굴린다고 생각된게 동태미오 둘이 쓰레기짓 하기 시작한 시점이 외모 돌아왔을때라는거임.. 
그래서 철없는 쉴더들이 '못생겨져서 욕하는거다'라고 물타기할 여지를 남겨둠 ㅋㅋ 실상은 진짜 악당보다 더 나쁜짓 했는데.. 
그래도 독자들은 개돼지가 아니라 발암커플 지적하는 베댓에선 외모얘기 1도 없이 행동만 욕함 ㅎㅎ"
28,"방금 버스에서 ㅋㅋㅋㅋ 앞자리 남자
더 게이머 보는구나 싶었는데 쭉 내리더니 1점 주고
갓오하 보더라 ㅋㅋㅋㅋㅋ"
29,?.. 자기 엄마한테 짐이되지않기위해 노숙자를 택한다? ㅋㅋㅋ 지금까지 살아오면서 웹툰&드라마&영화 내용중에 이렇게 억지스러운 내용은 처음 보네요 ㅋㅋ
30,이번화 빨리끝내라. 국제적 망신내지 말고
31,"오늘 요약.

로리스승님 자동차없어짐
갑자기 함정던전진입
조무래기들 등장
다음화에 계속 
                                                       분량 실화냐"
32,"작금의 상황은 첫 연재때부터 봐 온사람이라면 화날만한 일이다. 진짜 초반 연재때부터 지각, 다음날 올리기가 기본이였고 웃기는것은 네이버만 연재하는것이 아니라 타 사이트에는 버젓히 연재하면서, 외주 작업 다하면서 지각을 한다는것이다. 본인이 감당할 만한 작업량이 안된다고 판단되면 외주를 줄이던가 해야하는데 그것도 아니다. 또한 스토리는 참 방대하고 재밌게 짜고 뭔가 있을듯한 떡밥은 참 잘만들어낸다. 근데 제대로 완결을 내고 끝낸 만화가 없다. 내 장답하건데 이번 덴마까지 중간에 연재를 끝내버리면 작가로써의 수명도 끝이다. 본인을 무조건적으로 좋아해주는 독자들의말만 듣고 자기가 지금 뭐가 문제인지도 문제가 있는지도 못 알아채고있는게 가장 큰 문제다. 나이 지긋한, 사회 초년생도 아닌 작가가 자기가 하고 싶은대로, 내키는 대로 연재하는 것은 독자와의 무언의 약속을 저버리는 것이다. 이전의 많은 작품을 보고 덴마도 몇 년 간 꾸준히 봐 온 애독자로써 참 안타깝다. 작가는 제발 정신차려라.."
33,원본자체가 구백경대평균 혼마한테 털린수준아님?
34,"어느날 더게이머가 길바닥에서 울고있기에 지나가던 럭키짱이 호기심에 물어봤다. ""아니 자네는 왜 길바닥에서 그리도 우는건가?""
그러자 더게이머는 사람들이 너무 악플을 단다면서 설정상 1부보다 2부가 잼있울수밖에 없다고 말하며 억울함을 호소하였다. 그러자 럭키짱은 더게이머를 읽어보고는 무릅을 탁치며""오호 통재라! 이것이 진정 나를 이을 후계자구나!"" 하고서는 만족스러운듯이 껄껄웃었다.
""네 자신감을 가저라 내가 너를 위해 특별한 선물을 준비했느랴"" 더게이머가 고개를 들자 어느새 럭키짱은 사라저있고 그의 앞에는 오직 1개의 별만이 남아있었다

그러므로 1점드립니다 작가님"
35,분량 실화냐? 이게 유료결제한 결과라고? 좀 너무하지 않나요? 이정도면 만화책으로도 3쪽도 안될꺼같은데... 1주일연재에 그래도 10페이지정도는되야지 그리고 유료결제인데... 저번주도 화가나고 이번주도 그러면 어쩌자는거지 다음주가 마지막기회다 다음주도 결제했는데 분량 창렬이면 이웹튼은 거른다
36,민호 사이코패스 설정있나요?
37,하;;언제까지 이런 의미없는 화만 낭비할건지 모르겠다
38,"사과문:
죄송합니다 여러분...인간은 같은실수를 범한다더니 오늘도 제가 설마하고서 쿠키를 구워버렸습니다...제가 한 행위를 깊이 반성하고있고 앞으로 다시는 이런일이 없도록 하겠습니다. 또한 앞으로 자랑스러운 신의언어 1점수호대에 앞장서도록 할것을 다짐합니다."
39,아니 좀 말하라고 출산하고 즐거운 대학생활은 무슨 지옥같은 육아생활일텐데;;
40,본격 작가와 독자가 맞짱뜨는 만화 ㅋㅋㅋㅋㅋㅋ
41,노아는 도대체 왜 혼자 저렇게 날뛰는 거죠?
42,어떻게 2달동안 변한게 하나도 없네
43,얼씨구 그렇게 착하신분이 몇번이나 손 잡아준 지은누나 앞에서만 여포질이냐 ㅋㅋ 도와줬더니 쌩무시하고 멱살잡고 죽이려하고 정작 같은 찐따들 앞에서만 성인군자인척
44,웹툰 재밌게 보고 있습니다. 근데 창작물이 아무리 좋아도 우리나라에서는 작가가 문제가 있으면 창작물도 수용되기 어렵습니다. 그렇기 때문에 저도 문제가 있는 작가의 작품은 보지 않습니다. 하지만 3화 작가의 말에 보면 블로그에 문제가 되는 사건과 해명글을 올리셨다고 하셔서 쭉 읽어 보고 이 작품을 계속 봐도 되겠다 싶었습니다. 이주 간 웹툰을 안 보다가 5화인 지금 다시 봤는데 아직도 벌점이 너무 낮길래 다른 사람들은 나와 같이 생각하지 않나 싶었습니다. 그런데 베스트 댓글을 보니 다케미니님이란 분이 ‘무슨 일이 있었고 어떤 해명이나 사과글을 올렸는지는 모르겠고 알고싶지도 않지만 갯글 몇 개만 보면 그림작가가 잘못했고 사과도 제대로 한 것 같지 않다.’라며 나는 이 문제에 별관심 없고 알아보지도 않았지만 댓글 몇개만 보니 저 사람이 잘못한 거 같다라는 추측으로 위안부 문제와 비교하는 것을 보고 너무 안타까워서 처음 댓글을 남겨봅니다. 
45,웹툰계 최강의 중국몽 커플 [미오쩌둥♥모택동태] 짱개커플 아니랄까봐 사상도 공산주의임 ㄷㄷ.. 다이스를 써서 혹은 없어도 평등한 세상을 만든겠다는 지극히 공산적인 논리... 대한민국 배경인 다이스에선 사라져야 옳은 것들이다
46,무슨 만화 내용이 템하나 산거밖에 없냐 ㅅㅋㅋㅋㅋㅋㅂ
47,믿고 볼 웹툰이 없네..
48,"이 짧은 분량에서도 매주 쓰레기지수를 갱신하는 동재앙 니가 진짜 레전드다ㄷㄷ 
미오쩌둥은 더 추해지기 전에 은퇴라도 했지"
49,이런걸 굳이 쿠키까지 지르면서 보는게 제일 멍청해보이는데
50,별점테러하는 이유는 내용이 개빻아서!!!!!!!입니다 제발!!!!! 아진짜ㅜ왜다들 이웹툰보고 잘못됐다고 생각을 못하지.???.? ㅠ
51,최후의 희망을 갖고 반전이 있을거라 믿고 들었왔다 배신당한 동포들은 좋아요를 눌러라...
52,남친한테 얘기하라고 얼라년아
53,주인공이 5주째 등장 안하니까 너무 루즈하다
54,"10년 후 KBS2 교양 프로그램 [빛나라 지식만만세] '네이버 웹툰 지각을 밥먹듯이 한 사람이 있다?' 게스트들 게스트들 : '에~~~~?ㅋㅋㅋㅋ '말도안돼 ㅋㅋ'게스트 1 :'난 알지..우리 나이대는 알거야...'게스트 2 :'에이 선배님 거짓말지마요ㅋㅋ'게스트 3 :'진짜라구요?' MC : '자 그럼 화면으로 만나 보시죠!’ 전직 네이버 웹툰작가, 덴경대를 거느렸던남자. 그 남자를 찾기 위해 우리 빛나라 지식만만세 팀이 나섰다!! 서울 강동구의 조그만한 한 기사식당 거기서 돼지불백을 나르고 있는 한 남자를 만날 수 있었는데..!! 저기 서빙하는 늙은 남자 농땡이가 예사롭지않다!!"
55,"작가님
아까 카페에서 반장이 지한이 이름말하면서 수줍어할떼 정말 쌍욕이 나왔습니다.. 어떠케 반장주제에 지한이와의 러브라인을 꿈꾸죠..; 진짜 반장 삭제안하면 의리고 뭐고 이 웹툰안봅니다"
56,"네이버 : 어때? 더 미룰 수 있겠어? 이쯤하지. 무리말고...
양영순 : 아냐, 한시간만 더 늦게 연재하자. 미룰 수 있다는게 느껴져. 가능할 것 같아.
네이버 : 다시 말하지만 다른 작가들이랑 이걸로 경쟁할 필요는 없어. 이미 늦은것 만으로도 충분히 욕먹고 있다고.
네이버 : 지각은 작가의 특성마다 맞물려서 개인마다 다른 한계선을 가지니까.
1시간 뒤...
양영순 : ...하아..하아..
네이버 : 안돼! 안돼! 정신차려. 댓글을 보면 안돼!
네이버 : 됐어. 오늘은 여기까지. 공지도 올렸으니까 오늘은...
양영순 : 한 시간만! 미룰 수 있다는게 보였단 말이야! 무섭지만 한시간만 더 미뤄볼래! 어서!
1시간 뒤...
양영순 : 헛! 더이상 미룰 수 없을 것 같아. 여기가 마지막...? 뭐야...? 왜 갑자기 눈물이...
네이버 :  됐어. 눈물이 보니 이제 연재해야한다는게 확실해.
.
.
2-605화 3.The knight (133) up"
57,왜? 여자고렘 만들어서 번식 가능하게도하지?
58,여성퀑이 갑자기 왜 늘어나 그냥 여성퀑 딱 내면 될 것을 우리가 언제 공자가 여자인데 불만 품었나 헬맨 리더가 여성인데 뭐라 했나 그냥 내면 될 것을 꼭 여성여성 거리고 있어 그냥 캐릭터가 매력적이면 좋은거야.
59,"작가의 단점 

1.쓸데없는장면이 너무 중복되듯 나온다


2.위 문제로인해서 분량이 적게 느껴짐


3.전개속도가 조오오온나 느리다



4. 글작가가 비웅진이다 

이점만 고치시면될것같습니다."
60,"컵라면 레시피

1. 컵라면 뚜껑을 열고 건더기 스프와 각종 스프를 넣는다.
2. 표시 돼 있는 선 까지 물을 붓는다
3. 3분간 기다린다.
4. 먹는다.
"
61,"지금까지 다 없애버려란 말을 얼마나 우려먹을라고 내용 전개도 상황연출도 대충하고 이게뭡니까 작가님.. 부끄럽지도 않나요?? 웹툰작가 욕맥이십니까?
본업이 있고 자시고 작가님 웹툰도 연재하면 책임감있게 열심히 해야죠.. 이게뭔가요.. 솔직히 이미 아이디어 바닥을 보였는데  접으세요 말아잡수세요"
62,다항함수 몇개 찍찍그어놓고 확률계산하고있네 ㅋㅋㅋ 문과 수준
63,은주와 지은이가 해주는 덮밥이 먹고싶습니다. 픽시브에 없나요?
64,하 진도상태봐라 포기할란다
65,으 이상한 짓하고 필름끊겼다고 변명하는거 개극혐;;
66,여기서 배댓되면 난 또라이가 되겠지ㅎ
67,"동태:언제나그랬듯 노답스레기 
은주:갑자기 빡대가리 허당됨
지은:4주동안 복붙에 이번에도 274화 복붙컷
태빈:발암살리려는 발암짓"
68,50억짜리 재료비든 방어는 매한마리도 못막습니다.
69,이건 그림체가 독특한게 아니고 그림을 못그리는건데... 무슨 팔척귀신을 그려놨냐... 그리고 조선인들은 죄다 극화첸데 일본인들은 미화 오질나게 해놨네ㅋㅋㅋㅋ
70,뜬금없는.. 전개..? 딘은 뭔데 박무봉 스킬 견딤?
71,기안아. 너도 니만화가 이제 감당이 안되지?
72,아니 반장 나만 보기 싫음?
73,"제일 불쌍한 사람
1.결제한 독자
2.새로오픈한 당구장 사장님"
74,이쯤되면 작가님들이 오수 욕먹는거 일부러 즐기는 수준 ㄷㄷ;
75,댓글마저도 재미가없어져버린...
76,"작가님 솔직히 말해봐요 
어떻게 풀어나가야 할지 모르겠죠?"
77,진짜 지방인 찐따만들기 프로젝트라도 하세요?누가 자유이용권 주고 츄러스 달라고함 진짜 쪽팔리네
78,여주때메 지인들 다 고생하네 여주 ㄹㅇ발암
79,여주 똑같은 구두신고온다에 1표 (죠아눌러라)
80,에미야 분량이 짜다
81,독자들 이탈하려고 하면 어김없이 호흡기 붙여주는 지은센세..
82,비현실적인 전개에 캐릭터들에게 전부 호감이 하나도 안가요 주연 조연 모두 그냥 보면서 짜증남
83,지금까지 스토리 까먹어서 정주행하느라 1년 휴재했다는게 사실인가요?
84,여기는 쿠키굽는이유가 앞으로 스토리가 얼마나 더 망할까 하면서 보는듯ㅋㅋ
85,제우스가 x밥이었던게 분명하다니깐?...
86,타임포즈쓰고 무방비 상대 타임커터로 써는데 2주가 걸리누;
87,아무말 안 할려고 했는데 점점 갈수록 재미가 없네.....
88,"동태가 찐따였던 이유가 과감없이 드러나는듯... 여친 한명 구하겠다고 친구,은인까지 살인레이더망에 올린거 봤지? 애인 빼면 남보다 못한 취급하는데 누가 저런애랑 친구먹겠음.."
89,그림작가님은 정말 좋은데 스토리작가님이 맘에 안드네요; 이딴걸 내용이라고..;; 차라리 베도에 있는 좋은 웹툰이나 데려오셨으면 좋겠어요
90,이건 진짜 너무했네.....  분량 이래도 되나요? 네이버에선 관리를 제대로 안하시나?.....
91,전투신건너뛸줄알았다양가놈아
92,깔끔하게 기계 오류로 다 터지고 회상씬 나오면서 주인공 살아나고 줄리앙 죽기 전에 미안미안하고 끝내자
93,에휴 작가님 요즘 안좋은일 있어요???
94,노숙자 : 하이퍼? 지금 한놈 혼 내주고 온 길이야!
95,진짜 그림체 예쁘고 너무 다 좋은데 스토리가 말이 안된다. 현실성 전혀 없고 내용 요약은 계정 해킹 당하고 루시퍼한테 만나자고 그러는건가? 여주 정말 답답하고 남주는 그냥..
96,무언가 진실을 위해 회사와 싸웟지만 동료들의 배신으로 추락해 기자의 신념을 버리고 파파라치 짓을 해서라도 먹고 살려하지만 자신이 찍은 연예인이 쓰러지자 죄책감에 사진을 공개하지않고 사랑을 했엇다는 사실조차 발설하지않는 전직 기자는 오늘도 머리통이 터질 위기에 처했습니다.
97,아니 얘들아 들어봐. 내가 무조건적으로 비하를 하는게 아니잖아. 비판이지 1화부터 봤을거 아냐 니들 생각을 해봐. 리뉴얼은 진태진 당사자에 맞춰져 있는 무술이기때문에 진모리 조차도 무리가 갔고 다른 공작원들이 무리한 리뉴얼 사용으로 자멸했다고 일표가 말했잖아. 그말뜻은 진태진 진모리는 신체적으로 타고났고 그걸 견딜만한 신체가 된다는건데 진모리가 제아봉침때문에 ㅂㅅ된건 그나마 이해가 가는데 얼마전까지 아파 누워있던애가 리뉴얼을 무리없이 쓰고 진태진이 수십년동안 내지르고 다듬어서 완성시킨 팔잘리고 다음경지를 왔다는 그진태진조차 수십년 걸린 기술을 단 며칠만에 따라하는게 정상이냐? 얼마전까지 앓아누워있던 색히가? 이건 재능이 아니라 진짜 밸런스의 문제가 맞다. 무조건 편들어주지말고 바로볼건 바로보자 얘들아. 이거 베댓 한번만 더시켜주라 형들
98,"기안84 그냥 의식의 흐름대로 그리는구나? 
전엔 그래도 뭔가 깊게 생각한번 할수 있는 만화 그리더니 
돈벌고 방송나가니까 이거 안해도 할게 많은거지?"
99,"요즘 정주행 유행하길래 시즌 3부분 130~140화 이쯤 보고 있는데 미오 물고빨면서 은주까는 댓글들 진짜 도가 지나치더라. 무슨 암 대신 은주라는 말을 쓰자고 하고 정신병자들이 따로 없음. 정작 진짜 암은 미오와 동태 발암듀오인데 말이지.. 
뭐 그사람들도 이젠 알겠지 ㅋㅋ 초딩때나 미오나 예뻐보였겟지 지금 다시 그때 정주행하면 유치하고 이기적인 발암녀가 따로 없음. 선동도 잘하고"
100,"캐릭성 잘다루는 내용 핑까점) 은주는 요한의 일침과 도저히 답이 안나오는 동태를 보고 결국은 설득이 아닌 PK를 하기로 결심한다. 한편 동태는 태빈의 희생으로 무영에게서 벗어나지만 타임커터라는 큰 전력을 잃고만다. 
약해진 동태는 곧바로 은주 연합에게 공격받으면서 남은 타임포즈를 털리고 은주마저 자기에게 돌아섰다는 사실에 멘붕, 간신히 텔레포트로 도망쳤지만 자신의 폭주로 주변에 아무도 남지 않았다는 걸 알고 좌절한다. 
그리고 자신이 이렇게 될까봐 미오가 먼저 결별선언을 한 것까지 깨닫는다."
101,이웹툰은 베댓되는법은 누가 더작가 잘까냐 의 문제아닐까
102,뭐래 지가 연락해놓ㄱㆍㄷ
103,그렇게 좋아죽던 은주마저도 눈 앞에서 살해하려다 간신히 저지한거 보면 타임포즈 걸었을때 지은이가 클로킹 발동 안했으면 진짜 100% 죽였다.. 저건 이제 주인공이 아니다 빌런이다.. 불쌍한 은주지은이
104,노아 왜저래 진짜 보배는 친구도 아닌가 
105,"저 죽음년 솔직히 ㅈㄴ패고싶다

주인공이 자살을한거지 성범죄자되서 저정도로 고통입을정도로 잘못을한건가?

솔직히 너무하잖아 저년"
106,아무런 이유없이 배댓이 될지어다
107,"스파게티 만드는 법
1. 양파와 마늘은 잘게 다지고, 바질은 장식용으로 일부 남기고 나머지는 파슬리와 함께 잘게 다진다.
2. 방울토마토는 4등분으로 잘라놓고, 토마토 홀은 손으로 주물러 으깬다.
3. 끓는 물에 소금을 넣고 스파게티를 9분간 삶는다.
4.팬에 올리브유를 두르고 양파와 마늘을 볶다가 방울토마토와 으깬 토마토를 넣고 10분 정도 은근하게 끓여 소금, 후추로 간하고 다진 바질과 파슬리를 넣는다.
5.소스의 농도가 맞으면 삶은 면을 건져 넣고 앞뒤로 흔들며 잘 섞어 접시에 담고 그라나치즈가루와 바질잎으로 장식한다"
108,신윤환이누군데
109,여주 또라이 아니냐 지가 좋아하는 연애인 쓰러졌다고 사람 납치해서 축소시켜놓고 살충제 뿌리고있노ㅋㅋ
110,"복붙이 얼마나 많은가 최근꺼 훑어본 결과 250화 251화 252화에 출연한 지은누나의 모든 장면이 241화의 나온 장면 도장 찍었음.
은주도 250화 251화의 나온 모든 장면이 얼마전 태빈이가 구해주는 장면에 옷만 입히고 그대로 썼음."
111,이건 여주가 잘못한거지;; 10달동안 감감무소식이다가 이제 와서 운다고? 도대체 무슨생각이였던거야?
112,마사토끼님 잘생각하세요. 자물쇠가 123번 상자에 a ac c이렇게 잠겨서 마지막에 ab ac bc이렇게 잠겼을건데 아리가 어떻게 도면을 빼왔는지 궁금해 하는 사람이 하나도 없습니다. 킬더킹에 대해서 다는 댓글이 만화재밌다 또는 트릭에 대한 토론을 원한거 아니에요? 늦었다 일색인 댓글이 참 슬프네요. 좋아하는 작품인데.
113,"아니 정도것하셔야지.. 처음에 분량을 그렇게 하더라도 미리보기는 말 그대로 결제하고 다음화를 보는거 아닌가? 
미리보기로 수익을 창출햇으면 그에따른 분량 혹은 내용이 달라져야 한다고 생각하는데? 작가님 한번에 바뀌라는 바램을 안가질게요 그러나 적어도 발전을 해야하는거 아닙니까? 만화를 연재햇으면 미리보기를 하기로해서 수익을 창출햇으면 이렇게 게속 하는순간 독자들은 안볼겁니다."
114,작가양반 그대에 대한 보호 기간이 끝났다.
115,와이파이에서 5G기가 와이파이가 되었다
116,"아니 선일이가 가문에서 그렇게 운동해서 고1때38렙이엇는데
반장샛기가 38랩 장난하세요? 반장 나오는이상 더이상안봄"
117,차라리 반장 죽어서 주인공 흑화ㄱㄱ
118,중간에 영화 엔딩크레딧 보고 이 웹툰 끝인줄
119,보는데 민망해서 밑으로 못내리겠어ㅜ
120,"박형석 각성좀 해야돼
다른몸에만 의지하잖아 답답해 미치겠다"
121,"맥락이 없네
몇 주 동안 질질 끌어놓고 실 잡아 당기니까 갑자기 산산조각 나 ㅋㅋㅋㅋㅋㅋㅋㅋ 내가 그냥 줄 잡아서 컬렉션 터지는 거 보려고 몇 주를 기다린 건가"
122,아 이젠 그냥 존나 불쌍하다...새로운 여자한테 번호 알려줄 정도로 오수는 민호한테 있어서 아는사람 밖에 안됨..아무것도 모르는 여자는 자기와 맞을 수도 있다는 생각이 들지만 오수는 그 생각조차 안 드는거.. 근데 그 와중에 외모때문이라고 혼자 삽질하는 거 보면 진짜 답답하고 미련하네..
123,와 다이크가 그 잡몸뚱아리로 수년을 찾아 헤매던 테이를 가이린은 엘가 빽으로 며칠만에 찾네
124,장난하냐...왜자꾸 스토리진행할때쯤 되면 갑자기 뜬금없이 다른 얘기에 회상에 지금 몇십회차 반복하면서 이렇게 내용 이상하게 낑겨넣는데 독자들은 그게 신물난다는거아냐 진짜 쿠키는 이제 그만 구울란다
125,안 믿을듯... 차라리 저기서 폰 확인시켜줘서 계정보여주면 좋을텐데 하필 폰에 물먹어서 폰 안켜지고 오해는 더 깊어질 것 같아. 풀리려면 30~50정도는 더 연재되어야하지 않을까??
126,sns는 인생낭비다 -알렉스 퍼거슨
127,동태 : 핑곗거리 ㄳ하구요 ^^ 그래서 모두 뒤통수 까기로 했습니다!
128,작가님 a형독감인데 자가격리도 안하시고 마구 다니셨네요 감염은 어쩌시려고...
129,제목이 외모지상주의 인건 알겠는데 주제가 외모지상주의 옹호에요 비판이에요? 점점 구분이 안가네
130,"혁진이는 착한짓해서 뿔 없어지고
연주는 나쁜짓해서 날개 없어질듯"
131,쿠키구웠는데 인간적으로 얼굴은 보여주자..
132,"수백 수천명한테 피해끼쳐도 상관없다는 한대위???

한대위가 원래 이런 캐릭터였나요? 

내 여자를 위해서라면 그 외에 타인들은 어떻게 되든 상관없다는? 

지금까지의 불살주의는 대체 뭐하러 나온거죠??

작가님 말 없이 몇달째 쿠키만 굽다가 오늘은 정말 아닌거같아서 처음으로 댓글 달아봐요.

이게 대체 무슨 소리에요?

한대위 무슨 사이코패스에요? "
133,홍오수 = 노답
134,딘이 진회축 쓸따마다 기분 개짜증남;;;;
135,제목 때문에 김치워리어 생각나서 안 들어 올 수가 없었다 ㄹㅇ
136,얘는 스킬이 변하질 않아 메이플도 전직하면 스킬 바뀐다 임마
137,고산 결국 약쟁이되는구나...... 한입충의 최후....
