,high_comment_False
80,용비불패와 열혈강호를 그리시는 분들은 서로 친하다고 하네요. 오무제 중에 '현재양'을 거꾸로 하면 열혈강호 작가인 '양재현'이 되고 열혈강호의 도제 이름은 '문정후'로 용비불패 작가님이십니다 ㅋㅋ 도제의 칼 이름이 '용비도' ㅋㅋㅋ 글구 용비불패 외전에 열혈강호 스토리작가 이름과 같은 '전극진'이라는 인물이 직접 나오지는 않지만 이름만 언급되기도 하죠(실제 나오진 않고 비중도 없으니 스포는 아님) 글구 용비가 금화경을 대놓고 봉에 걸고 음식점에 들어가는 장면에선 한비광이 천운악에게 밥값내라고 뭐라하는 장면도 있어요~
81,저 둘의 대화는 왤케 발전이 없냐..
82,이 화 너무 인상적인게 자신과 비슷해지는 닮아가지는 ? 홍설의 모습에 먼가 당황하고 놀란 유정의 표정이 너무 기억에 남는다 ㅠ 아직까지도 기억에 박혀있어서 유정은 먼가 나는 이런걸 바란게 아닌데 하는 표정이 너무 ㅠㅠㅠㅠㅠ 옛날 베댓 보고싶다 그때 이런말들 많았을건데
83,아니 뭔ㅋㅋㅋㅋㅋ개구리소리듣는데 2만원이야 난 그럼 돼지니까 돼지소리낼자신있는데 2만원줘요ㅋㅋㅋㅋ
84,와 애기가 말하는거 봐ㅜㅜㅜ 진짜 똑쟁이야 우리 명영이 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
85,"역시 란;;;
200등분 이라니"
86,장모님이 아니라 시어머니에요 ..
87,결국 혈연관계가 아니고 친구 할아버지 였던거임...???
88,아 처음부터 썼던거구나 그럼 도중에 좃되서 검은 금요일 사건이 터진건가
89,"멍멍이의 풀발 이라고 봤네,,"
90,건우는착한대 저빙어놈은뻔뻔하네 아오 생으로갈아먹읍시다
91,구팀장님 왜이렇게 가발같짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
92,미친테오 무슨 타라카족같은 형체가비추네
93,진짜 진짜 진짜 솔직히. 저 셋 중엔 그나마 인호가 가장 정상 아니냐? 나 그래도 정이는 어느정도 생각을 따라가겠는데 인하는 정말 못따라가겠어ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 찐 또라이ㅋㅋㅋㅋㅋㅋㅋ
94,어머님...저집 잘지키는데 들어가도 되나요
95,아니 진짜ㅋㅋㅋㅋㅋ어떻게 학교 안에서 마주친 사람으로 사기를 치냐 간도 크다
96,"우암 심정
1. 연화가 저리 심각하니 뭐라고도 못하겠음
2. 아무리 생각해도 답은 하나임
3. 그 일을 말해주고 시켜ㅆ을때의 상황을 연상
4. 질투나는 나자신을 발견
-//참사랑이군요 ㅎㅎ"
97,"아놔... 해피엔딩 쪽으로 진지해서 좋았는데, 빨간 망토 때문에 산통 다 깨졌어,,,"
98,"진짜 작가님... 매너도 너무 좋으시고, 책임감도 진짜 너무 대단하세요! 진짜 봐도봐도 본받아야 할 점!!!"
99,"예리엘이 착하건 흑막이건 간에 ㄹㅇ 차별과 갈등없앤거는 대단하네.. 아무리 강하거나 똑똑하다 해서 차별을 없앨수는 없음.. 예를 들면 요즘 우리나라와 일본의 갈등.. 아니면 양성간의 차별이라던지, 피부색에 따른 차별도 있고. 근데 이걸 '개인'이 해냈음. 심지어 이유조차 없고 살견(?)에 제물로까지 바친걸.. 이건 ㄹㅇ 세계적으로 알려져도 손색이 없음. 그런데 명성도 안바라고 돈도 안바램.. 이건 ㄹㅇ 성녀급이지"
100,작가님 GM죽이면 전 기우제를 지낼겁니다.명심하세요.기우제입니다 기우제.
101,"저 시대의 여성은 원치 않아도 혼인하면 아이를 낳는 걸 미덕으로 여겼으니 어머니도 시대상의 분명한 피해자인데, 아직 제가 부모가 아닌 자식된 입장이라 그런지 부모가 가하는 압박과 강요가 얼마나 무거운지 알고 있어서 어머니의 말에 수긍하기가 어렵네요ㅠㅠㅠ 어머니는 그런 삶을 원하지 않았다고 하지만 자식 역시 선택해서 태어난 것이 아님을 왜 모른답니까ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
102,물건 다 부셔놓고 부하 때려눕혔는데 1700원이 제일 확실하대 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ
103,아니...원래 이런장면은 보통 질투한다고 손뼉쳐야하는데 쟤넨 그냥 뒤에서 쓱싹 해버릴거 같아서 무섭다...그러다가 완전히 홍련이 뒤돌아서면 어쩌려고..ㅠㅠ
104,"중학생한테 발려놓고 ""애비랑 똑같구나"" ㅋㅋㅋ"
105,뭐야 마지막 춘배 표정은 왜 또 추방당한 표정임?
106,파양할거면 애초에 입양을 하지마세요
107,솔직히 여잔줄알았다 손..
108,얘는 그냥 시체 ㅋㅋㅋㅋㅋㄱㅋ
109,저렇게 잘생긴 남자 둘이 앉아있는데 쳐다볼만 하지
110,저 여자애도 귀신 볼수 있는거였네.
111,용비-구휘 정도면 그냥 당일 컨디션 좋은 놈이 이기는 거임. 그러니 구휘 승이 맞음 ㅋㅋ
112,강이지한테 한번 속지 두번 속으면 내가 냥인이다
113,"와 겨우 몇컷으로 사수 캐릭터 간략하게 잘 보여주시네 ㅋㅋㅋㅋ 여자 많네 어쩌네 하면서 편견으로 사람 대하고 남의 공 가로채는, 유정이 딱 싫어하는 부류 ㅋㅋㅋ 두 가지 조건 순식간에 충족함"
114,"?? 와 귀신들 그냥 사람들 잡아 먹는데에만 혈안인 줄 알았는데, 정상적인 사고도 가능하고 저렇게 의사소통도 할 수 있구나.... 하긴 지금까지 나온 귀신들도 좀 어디가? 어디가? 하고 스토커마냥 따라붙어서 얼른 죽거나 퇴장하길 바라기만 해서 신경 안썼던거지, 생각해보면 다들 말 하는 것도 정상적이긴 했네..... 그래도 저렇게 직접 의사소통하는건 처음이라 신기하고 소름돋네ㅋㅋㅋㅋㅋ 이런거보면 귀신도 생전의 기억이 있는건가?"
115,"제가 단행본 살라고 봤는데요 시리즈 다 합쳐서 약 30만원 넘더라고요,,,"
116,저 태준이가 나쁜애는아닌데 쬐깐 눈치없는케이스인듯...
117,저자식이 우리 보미의 잔을 얼굴로 쳤어
118,나만 손내밀때 돈 달라고 한걸로 안건가ㅋㅋㅋ
119,에필로그 개설레 ㅠ 미친 내심장을 훔쳐써 ㅠ
120,와 그림체가 화면을 뚫고나온다ㄷㄷ 진짜 잘그리시네
121,저 친구는 분명 푸들일것이다 나는 믿는다 가라 푸들
122,저 친구들이 걱정하는거 되게 당연하게 느껴진다 대가 없는 친절을 이웃에게 주듯이 호감으로 자신이 할수있는 선에서 주던 시절은 있었지만 요즘 세상은 대가 없는 친절은 거의 없고 대부분 사이비나 목적이 있어서 해주니까 거기에 그 대가 없는 친절도 악용하는 때니까 친구들 반응 당연한것같다....
123,이미 다정이도 눈치채고 있었는데 은정이가 괴로워 할까봐 모른척 해준거 같네
124,구봉이 이메일 wowfantasticbaby@naver.com
125,고깃집알바는 안잘렸는데 왜 스스로 관뒄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
126,"주황색 옷을 입고 싶었습니다
왤케 멋있냐.."
127,저렇게 말하면 누가 조력해주겠냐곸ㅋㅋㅋㅋㅋㅋㅋㅋ
128,결국 깜장이가 형인건 한번더 짚고 넘어가 주네
129,바지가 전체이용갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 안찢어지는 이유가 잇엇군ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
130,웅아 네이버고자가되고싶지않으면 잘선택해야할거야
131,난 으르신판데 지 잘난 맛에 살던 계선우가 앞으로 담이 때문에 안절부절못할 걸 생각하니 왜 이렇게 설레나 변탠가 나 웹툰 보면서 왜 자꾸 웃고 있나 내가 이렇게 웃음이 많은 애였나
132,"유정이 쌓아온 인간관계 자체가 이해관계에 기반함. 당연하다는듯이 유정에게 요구하고, 원하는바를 얻지못하면 언제든 저주할 준비가 된 인간이 유정 주변에 득실거림. 실례로 유상철은 평상시에 유정이 엄청잘하다가 좀만 완곡하게 거절해도 엄청 분개했었음. 유상철은 유정 좋아한적 없었음.. 그러니까 새삼스럽다는 말이 나오는것도 무리는아님."
133,인호 참 좋은애야..
134,다시 보니 그러네요 그렇다면 우비까지 사입고 저거 다 붙인 설이 책임감 실화냐...
135,"유화.. 진짜 불쌍하다..
륭구에게 충격먹고..  자살하시고 그것땸에 안좋은것들이 계속 반복되고.. 유산 사산경험하고 자살도 높아지고.. 근데 그걸 또 반복.."
136,우리도 지킬 사람은 고르고 싶으니까..... 무조건 악귀로부터 모든 살아있는 사람을 지킨다는 딜레마를 저렇게 단칼에 잘라내는구나 은파는ㄷㄷ 그래 그게 정신건강에 좋아.. 다 지킬수도 없거니와 저런놈까지 일일이 구해주면서 뒤처리까지 하면 골아츰
137,아니근데 생각해보면 저 부장 ㄹㅇ불쌍한게 갑자기 사장아들이 자기부서에 들어온단다 근데 또 사장이 감시하라고 시킴+ 하라는대로 굴렀더니 난데없이 사장아들이 뭐라함 뭐어떡하라고요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅜㅠㅠ
138,"중간에 저여자 겁나 짜증나네
남자가 울면 안됀다고 그러는거 진짜 왜 그러는지 모르겠다
같은 인격체인데 울 수 있는건데 남자라는 이유로 울지말라하고
그리고 저 강아지가 하나뿐인 가족인데
'그깟 강아지'가 아닌 사람이든 동물이든 다 자신의 소중하고
감정을 공유할 수 있는 가족이다"
139,"다들 심청이라고 생각하시는데 
청하 입니다. 특별게스트인가보네요."
140,아니 경찰이 수첩에 고아 잡역 저런거적는거 나만 거슬려?
141,설이 유정력 만렙 찍었네
142,작가님 솔직히 말해봐요 이거 그리면서 혼자 웃었죠
143,"성격 드러운 개 순위 top 7
7. 개의 성격은
6. 품종이 아닌
5. 주인이
4.어떻게 
3.기르느냐에 따라
2.달라지므로
1.치와와"
144,"신우:a급 능력 +10만 라이프+러브미 시스템+자연치유
한라:현 1위+ 사기급 능력 +미러링+부모 둘 다 운영자+부활석
작가님 이 둘 결혼시키죠!"
145,유정 ㅋㅋ 중간에 전화 한 번도 끊겨본 적 없는 거 티내네 ㅋㅋ
146,정말 민수 너무 불편해... 사과 잘하고 조용하다고 착한사람이 아니란거... ㅠ
147,유연이다 다른 선택지는 없어
148,상사랑 1대1로 엘베를 타다니... 아버지 끄나풀이라고 하더라도 불편할 것 같은데 유정 난놈이긴 한듯
149,"지금 보니까 히메가 네이버 월요웹툰 뒤에서 2등이다.
이러다가 네이버 두번째 장수 웹툰인 히어로 메이커가 인기 없다고 사라지게 생겼다고!!
불행5 보니까 히메 보는 사람이 최소 만명은 되는데 
우리 히메에 별점을 꼬박꼬박 주자"
150,"진심 호형이 왜 토욜 웹툰 7위인지 이해 불가..
스토리며 작화며 무케며 진짜 최고인데!!"
151,와 야성단 ㅈㄴ쓸모있어...
152,위장막 뭔뎈ㅋㅋㅋㅋㅋㅋ
153,영먹금
154,도령:...나도 좀 껴주시오..
155,"요리좀 먹어줘라..
샐러드도 안먹으면 셰프가 얼마나 자괴감들겠냐"
156,울었다 진짜 세상에 내가 제일 억울한 사람인데 내가 원힌던걸 기억해주고 그걸 해주는데 진짜 어떻게 사랑하지 않을 수 있겠어요 로맨스 시작합시다!
157,아니요 사귈 예정인데요 ..?
158,지은이 시무룩한표정 너무 귀엽잖아♡
159,준.......ㅠ.ㅠ.ㅠ.ㅠ.ㅠ..ㅠㅠㅠㅠㅠ.....공부머리는 없지만 눈치는 있는넘....ㅠ.ㅠ.ㅠ.ㅠ.ㅠ.ㅠ.ㅠㅠㅠ
160,ㅋㅋㅋㅋㅋㅋ안녕뇽 안뇽ㅇ욘용뇽 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 도룡뇽이냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
161,120화에 개 허무하게 죽은 할배가 독안룡 고협인가?!
162,저쯤 되면 유정이 이상한 게 아니라 아버지가 멀쩡한 애 이상해지라고 고사지낸 수준...
163,"그와중에 암주는 상관없다고 구라치는 것 봐..
진실 사이에 교묘하게 거짓을 집어넣네"
164,님들그거암  ㅈㄴ 재미있어서 분량많아도 적은느낌듬 ㅇㅈ?
165,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ알고있대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ잔혹한놈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
166,이건 진짜 구봉이랑 성은이가 아는 사이이고 구봉이가 알게될까봐 급하게 사과한게 100프로; 진영이 비호감이다...
167,"아ㅜㅠ 정말 백인하 너무 짜증난다... 저 나이 먹도록 공부도 안하고 뭐 하려는 시도조차도 안할 뿐더러 오히려 더 뻔뻔하게 유정이 아버지께 빌붙으려고 하는게.. 저런 언니 있었으면 연 끊고 살 정도
현실에 저런 사람 있으면 상종하기도 싫겠다 진짜"
168,설이 차 내리고 그냥 가는데 정이 표정 ㅋㅋㅋ 뭔가 당황한듯 기분 좋은듯 애매모호한 표정..
169,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개인적스로 이웹툰에 주인공보다 쌘애없었으면 좋겠음 너무취저야
170,싫은 사람을 칼처럼 잘라내던 유정이 원래 손을 못 놓던 설이가 자기를 닮아가면서 자기를 완전히 버릴 수 있다고 생각하니까 더 극심한 공포를 느끼게 된듯...
171,양심인 하난이는 양쪽눈을뜨고 제대로 길을 바라보게됐는데 희망인 도련님은 눈동자의별을 잃고 갑연이가 바꾼 가사대로 어두운길에 머물게됐어... 뭐야.. 도련님 별돌려주세요..
172,친구들 대화 너무 불편하다 이렇게 보니 시간 많이 흘렀구나
173,와 그럼 륭구 엄마는 강간당해서 자살한건데 그 팀장놈은 륭구 엄마보고 몸팔던 여자라고 비하한거였음???? 진짜 그새끼 사람인가? 아 사람 아니지 참
174,뭐지 홍련이 그냥 앉아만 있어도 되면 도운이 일 거의 처리하는건가..??홍련은 그냥 허울만 있을뿐이고????말도안돼 홍련아 빨리 네편 더 만들어서 궁을 바로잡자...
175,갓유미
176,아가같은소리하네 뭔짓할려고
177,아 제발 친구 초대 못하는 얘기로 가지 말아주세요 답답한거 극훰
178,아니 ㅜㅜㅜㅜ 덮수영 존잘이자나 ㅜㅜㅜㅜ 초아 양갈래 모야 ㅜㅜㅜㅜㅠ 수영이 은근슬쩍 손잡으려던거 모야모야
179,"그럼 그 아저씨도 알콜중독이 아니라 산재 때문에 얻은 후유증이었던거야?
헐...회사는 그걸 은폐하고...?"
180,쟨 뭐 맞는것도 저렇게 섹시하냐
181,주인공 그동안 귀신 무시 잘 해오다가 갑자기 왜저렇게 겁에 질린거져..?
182,이래서 인호 더 견제했나 ㅋㅋㅋㅋㅋㅋㅋ
183,인하 사진찍고 국수먹으러 간거구나....
184,설이: 아씨 잘생겼어... =내마음2222222
185,진심 다들 영광이 언급 안하는데 힘들면 넘기라는 등 사람 좋아보인다...  요즘은 알바들도 공감대 형성 안돼면 서먹서먹하거나 일떠넘기는 인간들 많음... 
186,이제는 때린이유가 너무 궁금하오 왜때렸는지 저남훈이자식의 정체가 뭔지 당최 용서가 안되서 목을 쳐버리고싶소
187,아놔 유정 여기서는 되게 별로네ㅋㅋㅋㅋ 글고 좋은데 표현할줄몰라서 시비터는게 아니라 걍 설이 귀찮고 거슬리니까 밟으려고하는거로밖에 안보임; 세상 바껴서 요즘은 좋아하니깐 괴롭힌다는 소리 하면 못배운 놈 소리 들어 정아
188,곱창에 소주를 포기할 사이라니 결혼해야겄네
189,족보 맡겨놨나진짜 상철아 제발 철좀들어라
190,잠만 책꽂이에 과자숨겨 놓았는데?
191,다 떠나서 쇼팽 진짜 짜증난다. 애가 피해망상에 찌들어가지고.. 같이 피아노 치는 사람이니까 손이 얼마나 중요한지는 누구보다 잘 알겠지. 쟤가 제일 사이코같아
192,설이 점점 유정처럼 돼가 ㅋㅋㅋㅋㅋㅋ
193,좋은대학 나오면 저렇게 다들 대려갈려고 하는구나.
194,쟤는 너무 대책없이 왕이란 권력만 믿고 사는게 진짜 홍련이 왕위 거저먹겠다
195,그리고... 암만봐도 체르타 히아센 요즘 대화는 대화라기보단 세뇌같다
196,신우야. 6화에서 한라에겐 단 1mg의 사심도 없다고 했던 말 취소하자.
197,깜장이가 형일 수도 있겠다라고 생각하니까 눈물 나려고 하네 개슬픈데?
198,저번화에 베댓이 분량세포 없다하니까 미안하셨구나... 아니에요 분량 많았어요 부담 가지시지 말고 연재해주세요~
