,high_comment_True
46,같이 쓸수는 없어도 빌려준다는 말이.. 마치 영원을 함께할 수 없어도 당신이 사는 동안만큼은 같이 있어준다는 얘기같아요ㅠㅠㅠ 영워니 햄보캐졌으면 해..
47,고니 맞고싶은고니
48,스토커 진짜 빠르게 잡혔으면 좋겠다.... 
49,배려심 넘친다 진짜ㅠㅠㅠㅠㅠ
50,삽주길래 설마했더니 묻어버리냐ㅋㅋㅋㅋ
51,와 근데 인호 자존감 높고 당당해서 너무 좋다..
52,ㅋㅋㅋㅋㅋㅋ  뽑고달릴줄은 생각하지도 못했다 ㅋㅋㅋㅋㄱㅋ
53,왜 아무도 무심에 대한 언급이 없을까나 무심이 산삼보다 외로움이 더 크다는데 만약 우암이 죽으면 무심이는 어떻게 될까요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
54,도운도 홍련 생모한테 가자고 하려던거같긴한데... 으휴 그니까 좀 평소에 잘하지그랬어 이놈아
55,신문물 먹은 뱀답게 헤이래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이무기 최고얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
56,구강폭행ㅋㅋㅋ엌ㅋㅋ...작가님 치아는 강녕하신지요
57,애용이 떼껄룩한테 쪼르르 가서 나눠주는거 너무 귀엽다ㅠㅠ
58,"'그래서 우리가 수석 차석....'
근데 멋지다 수석이랑 차석이랑 연애하는데 공부하면서 데이트해.... 멋져...(지나가던 대학생 쭉 지나가겟슴니다-)"
59,또 들어가있네 ㅋㅋㅋㅋㅋㅋㅋ
60,맞음...다정이는 빡칠만 함 걔 때문에 죽을뻔했고 자리 빼았고 죄책감이 있다고 해도 상대방이 그렇게 생각하지는 않지
61,여기서개뿜음ㅌㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ울지마ㅋㅋㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ
62,이열.
63,저때 베뎃중에 ㅋㅋㅋ 그쪽도 정상은 아닙니다만 이런거 있었는데 ㅋㅋㅌ 핵공감...
64,아직 내 얘기 덜 끝났닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
65,모든 남주를 이겨먹는 설이의 대존멋짐
66,"오늘의 킬링 포인트
1. 바름이 오니까 '간..은 어떻게 맞출까? 소금을 좀 칠까?'하는 유연이
2. 꼬챙이 들고 내적댄스 추는 유연이
3. 도은이에게 커피를 건내는 하남이
4. 하남이가 바름이에게 커피 줄 때 '내꺼는?'이라고 하는 유연이 -> 하남 : 둘이서 드세요 -> 유연 :그럴까?
5. 바름이랑 둘이 축제 구경할 수 있는 기회라 들떠있는 유연이"
67,호선아...ㅠㅠ 다들 너를 걸림돌이라고 생각하는게 아니라 그저 호선이가 행복해졌음 해서 인간들이랑 교류하도록 돕고 과거의 상처가 낫길 바라는 걸텐데..
68,헐... 삼년을 봤지만 세니카 어른 모습 본거 처음이야...
69,ㅋㅋㅋㅋㅋㅋㅋㅋ아 들킨거 너무 귀여워
70,"지금 보니 유정 설이가 한껏 꾸미고 옴+같이 밥먹자고 함에서 드디어 설이가 나에게 관심을 가지나? 라고 생각했는데
평소에도 예쁜옷 입었으면 한다는 말에 ""어짜피 보여줄 사람도 없는데요""에서 음 싶더니 소개팅에 넉다운 당함ㅋㅋㅋㅋ"
71,어머 돌직구♡ 그래 여자는 가끔 돌직구를 쓸 필요가 있는겨!!
72,저는 첫 출동에 오장육부가  나온 사고였어요..하지만 다른 소방대원들은 그 후 점심 내장탕 먹더라고요..제 트라우마 입니다. 저희 팀원들이 더 무서워요..
73,재희랑 정은 으른연애 너무 좋다... 짜릿해 으른의 저 초조하지만 여유로운척하는 거...
74,내리다가 어르신과 담이의 투샷ㅜㅜㅜ보고 심쿵함
75,소율이 진짜 좋은 친구인 거 같다 저렇게 친구 일에도 화내주고
76,"유정.. 당신은 정말 완벽 영어로 퍼펙트 일본어로 간빼끼 중국어로 완메이.. 아니 이 단어들도 당신의 완벽을 표현할 순 없다.. 오늘부터 한국어로 완벽하다는 곧 유정하다.. 유정 당신.. 정말 유정하다.. 당신 같은 남잔 세상에 없음.. 그래서 더 완벽한 당신.. 머리 꼭대기부터 발끝까지 뭐하나 빠지는 것..? 절대 없음.. 이름이면 이름, 얼굴이면 얼굴, 키면 키, 성격이면 성격, 성적이면 성적, 돈이면 돈.. 당신에게서 헛점을 발견한 사람이 있다는 것은 모순.. 당신에게 헛점은 없으니까.. 그저 완벽한 당신.. 어떻게 이름도 유정이지..? 이름조차 완벽을 넘어선 훌륭, 훌륭을 넘어선 완벽.. 웹툰에서나마 당신을 볼 수 있다는 것..? 그것이 나의 유일한 성공이자 행복.. 순끼님께 이 세상에 유정을 내려주신 것에 대해 감사의 인사를 올리며.. 유정 당신.. 언제어디서든 행복해라.. 너의 행복이 곧 나의 행복이니까.. 유정 당신을 본 오늘 내 하루.. ""유정하다."""
77,이제 오영곤은 머리속으로 5초만에 손자까지 다 봤겠지
78,천사님... 딱 보자마자 천사님인줄..  그만큼 아우라가 ㅋㅋㅋㅋㅋㅋㅋ
79,이런 판타지!!!! 내 최애가 나한테 밥 먹자고 카톡 오면 난 카톡 답장도 못하거 싸늘한 시체가 되어있었을거야..
80,기특한자식
81,"황요의 잘린손이 제대로 나오지않고 작가님이 의도적으로 안보이게 표현하신걸로 보아
황요는 다른 잡몹으로 바꿔치기하고 도망간걸 알수있습니다!"
82,그래도 네 네 하고 나올줄 알았더니 안되는건 안된다고 말할줄도알고... 봉우리 힘내라 진짜로.. 
83,아영이 귀엽고 당찬 포메라니안 같음
84,와 마음의 상처를 텅빈 장으로 표현하시다니... 좋고 기쁜 마음이라면 추억같은 책이나 물건들이 꽂혀있을텐데 상처받아서 마음에서 정리하고 그 사람이나 기억에 관련된 걸 그냥 마음에 묻어두고 신경 안쓰이는 척 공허한마음같은 사막에 방치한 걸로 표현하신 듯해요!! 사막과 빈 장 너무 표현 좋아요ㅠㅠ
85,산신령이 이무기한테 아기 뱀 아기 뱀 이라고 해서 되게 어른스러워보였는데 이무기가 의자 끌어서 다시 의자에 앉는거 너무 졸귀 아닙니까ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ짱 좋아ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
86,유정은 오영곤이 설이 스토킹 한다는 것 알았을 때 당장의 설이의 신변은 걱정하지 않는 다는 듯 증거를 계속 달라고 부탁하고....백인호는 당장 오영곤이 어떻게 할까봐 호신무기부터 챙겨주고...둘이 대처방식부터가 이렇게 다르네요
87,회장님 은근 무서우실거 같음..은재가 회장님이 호출했단 소리에 바로 눈 번쩍 뜨니깐(게다가 실눈캐)
88,질투한다 ㅋㅎㅋㅎㅋㅎㅋㅋㅋㅎㅋㅋㅋㅋ
89,"하....난또 매니저님이 흑화한줄알았는데 다행이다
그나저나 전 여러분이 어디서 멈춘지 안답니다만.?흐흠"
90,인호 나름 수작부린건데 설이 정말 순수하고 그런의도 없이 좋아하니까 뻘쭘해하는거 귀엽고ㅋㅋㅋㅋㅋㅋ
91,강제 셧다운= 다기절. 근데 패치대리는 손깨물어서 기절안함
92,"우리 먁내라니 걸크 오졌다ㅠㅡㅠ
우리나라를 지켜주신분들께 감사하며
살겠습니다"
93,시어머니가 좋아하시는 모습 보니까 어쩐지 나까지 뿌듯해짐ㅋㅋㅋㅋ
94,고딩 때 유정한테 유일하게 너는 이상한 게 아니라고 말해주던 인호가  이상한 새끼라고 욕하는 거 보면 둘 사이가 돌이킬 수 없이 어그러진게 보여서 짠함ㅜㅠ
95,ㅋㅋㅋㅋㅋㅋㅋㅋ 아들만들자 소리에  머리모양 하트된거봐봐 진짜 상콤하다♡
96,저기 이상한 바지 입은 선배요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
97,와이프라고 했다가 눈치보고 아내가 될 상인가?ㅋㅋㅋㅋㅋㅋ
98,여자가 뒤돌아보고 갈 정도로 잘생겼는데 구웅이랑 만나는 유미 눈에는 잘생겨도 눈에 들어오지않는다는것같음...진짜 표현 쩐다..
99,원장이 때린 줄 알았는데 아저씨가 때렸어ㅋㅋㅋ
100,검성이의 잠입액션... 조력자들의 힘으로 겨우겨우 클리어!! 로덴은 혼자서 씩씩하게 다했는데 ㅋㅋㅋㅋㅋㅋㅋ
101,오 잠만 오베이흐??으어어어어??ㅜㅜ!!!
102,미리미리 죽어있었어야죠 ㅋㅋㅋㅋㅋㅋㅌㅋㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 내배꼽 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
103,완결 멀다고 말씀 주셔서 감사합니다.. 감사합니다.. 매주 사랑합니다.. 할매가 될때 까지 사랑합니다..
104,역시 단아 상여자야
105,여연이 자신감 뿜뿜해서 새 그리는거 너무 귀여움ㅋㅋㅋ
106,다들 알고 있었던 거지. 세자는 모질이였다는 걸... 홍련 쪽이 더 제대로 된 왕이 될 수 있다는 걸...
107,실제로 저리 가슴 아프면 협심증이 의심됩니다. 병원에 가십시오.
108,서장훈 똥먹어요??
109,20주..25주6일 두 아들을 가슴에 묻는 일을 ..두 번 겪었기에 이번화는..마음이 많이 아프네요 ...그리고 그렇게 최선을 다해주신 의사분들이 계셨기에 지금 9개월된 아이가 제 옆에서 자고 있어요 감사합니다
110,저 친구 옛날부터 넘 맘아파ㅜㅜ
111,인형이 옷이 뭐 어때서!!!!!!
112,반존대 설램❤❤❤❤❤❤❤❤❤
113,바리 저러고 있으니까 멋진데 현대시대에서는 왜그래ㅋㅋㅋㅋㅋㅋㅋ
114,빠르진짜 간지씹오진다..
115,하 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ유연이 사진 갖고싶다 진짜로 너무너무너무너무
116,"생각해보면 유정보다 인호가 더 어른스러운 것도 같다 정이는 겉으론 성숙하고 유려하고 능숙해보이지만 결국 자신이 원하는 것을 어떻게든 얻어야만 하고 감정을 건강하게 해소하는 법을 몰라 쌓아두다가 응징으로 마무리 짓는 느낌.. 반면에 안하무인같아 보이는 인호는 들여다볼수록 자신의 욕심대로 하는 선택이 없다 주변이 다칠까봐 망설일 때가 더 많고..  불우한 환경에서도 좌절에 머무르지 않고 어떻게든 살아내는 내면의 힘도 있고. 
 정이가 얼른 설이를 통해 더 변화해서 이런 인호도 다시 돌아봐줬으면ㅠㅠ"
117,그래서 양손잡이가 되었고 천동지가 불에 타지 않는걸 여기서 둘만의 비밀이되었군...
118,나는 말이야 레몬 파이랑 딸기 케이크 중에서 뭘 먹을지 고민하지 고민하지 않아.. 둘 다 먹을거야
119,인호가 유정 맥일려고 맥주에 뭐 탔는데 유정 아무렇지도않게 인호거랑 바꿔치기함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
120,확실히 백인호의 학창시절은 재능만 믿고 안하무인했던 시절인거같네요..ㅋㅋㅋ
121,이야 대리님이 정말로 요정이 되셨네
122,산신이 된후약속:결혼
123,인호야 국숫집 정규직으로 취업하면 안되겠니 ㅠㅠ
124,"유정의 대처 방식이 일반적이지 않다는 걸 가장 먼저 깨닫고 의아함을 느꼈으면서도 오늘 만날 수 있다는 생각에 꺼림칙한 기분 다 누그러지고 유정과 함께 했었던 행복한 기억들을 떠올리는 설이의 감정선이 정말... 너흰 찐이야.... 청첩장은 언제 보낼 예정이니..,?"
125,앜ㅋㅋ 진짴ㅋㅋ 단이 불러오라니깐 그 착한 애들이 다 핵단호해졐ㅋㅋ
126,보일러를 잡기 위해서라니. 귀뚜라미 학살자
127,딱 촉이 왔어 도운이 너 홍련이 웃는 모습 때문에 설레서 그런거지? 평소처럼 가르친다는 이유는 정치적으로 이용해먹으려고 했는데 홍련이한테 반하게 되면 곤란해지니까 그런거지? 
128,하룻 영고니 유정 무서운줄 모르고 깝치다가
129,아 어르신 저도 일행인거 같은데..
130,롤랑이는 존대하고 아멜리아가 반말하는 거 너무 자연스럽잖아ㅋㅋㅋ 너희 왕자 서민 사이 맞니
131,이제 알았으니 둘이 사귀면 되겠다
132,아진짜 여행 이렇게 알차게 보내는거 첨봐욬ㅋㅋㅋㅋㅋㅋㅋ부럽다진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
133,여기까지 쿠키를 구워온 제빵제과업계의 큰손들 일어서십시오......잘했습니다...저는 설이와유정이 씨씨커플 소문나는것을 보기위해 지금까지달렸고 손민수의발암물도 구워낼 예정입니다..ㅍㅇㅌ
134,구휘 vs 용비 개막
135,보아하니 인호설이 사진보고 조급해져서 고백했고만^^
136,우연아ㅠㅠ 다정보스인데ㅜㅜ 우연이거 실제로 사귀면 사랑꾼이라고ㅠㅠ 사랑해 우연아ㅠㅠ
137,"저건 어떤 욕망이길래 팔이늘어남??
해적왕을 꿈꿨나???"
138,세자가 나름 홍련 라이벌이라고 생각했는데 보면 볼수록 감정적이고 눈앞의 것밖에 볼 줄 모르네요 홍련이 왕좌 거저먹을듯
139,4인조 아이돌 그룹 확정!!!
140,사랑해 류혜진
141,사실 주인이 혼자 있을 수 없는것임
142,혜진이의 작은 참새... 그 이름은 은주
143,ㅋㅋㅋㅋㅋ유연아 포커페이스 하면서 마음속으론 춤추는 거 왜이리 커엽니ㅠㅠㅠ
144,이무기야ㅜㅜㅜ 삐뚤어진 니 모습도 좋지만 강유를 보면서 얼굴을 붉히던 일상에 스며들던 니가 더 조타 난... 돌아와조ㅜㅜ
145,체르타 끊어지지않은 전화 저거 믹이였을거아냐ㅜㅜㅜㅜㅜ 그전화받고 달려오는 체르타 심정은 진짜 어땠을까ㅜㅜㅜㅜㅜ 아끼던 단원의 마지막 한마디 듣는게ㅜㅜㅜㅡㅜ 섬세한 체르타 행동이 차단할 성가신거 이건 엄청난 떡밥인거 같은데 잘 모르겠고 신성의회 당기면 총상입은 프시히 볼테니까 텐이 총 프시히한테 쓴것도 알게될텐데... 체르타 텐 갈등 깊어질것같다ㅠㅜ
146,손민수: 거짓말쟁이에 흉내쟁이를 뜻하는 고유명사
147,비온뒤라서 의자 축축할텐데
148,있어줘....당신.....오늘도....내일도......
149,도끼 비브라륨 각 ㅋㅋ
150,"유미 바비 너무 귀엽다ㅋㅋㅋㅋㅋ 뭔가 웅이는 편안한 연애라면 여기는 약간 알콩달콩,,"
151,고수 주인공 스승은 파천신군 독고룡입니다. 파황신군 현재양이랑은 아예 다른 인물입니다.
152,행동파 재규어 ㅋㅋㅋ 반려 산삼ㅋㅋㅋㅋ 소리없는 어쌔신ㅋㅋㅋㅋㅋㅋ 아 왤캐 웃기냐고요 진심ㅋㅋㅋㅋ 그리고 지금은 티격태격하지만 나중에 산삼과 강유 은근 케미가 잘 맞을 듯ㅋㅋ
153,어머니께서 요리하셔서 ~ㅁ슐랭 기준입니다 ㅋㅋㅋㅋㅋㅋ 탈룰라냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
154,산삼이 왜귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
155,이번 화 이무기 왤케 섹시 한가요 근데 와중에 맨정신이 아니어도 강유를 생각하고 있네ㅜㅜㅜ우암 파는 사람이지만 이번 화 보면 이무기 너무 안타까워..하필 그렇게 태어나서ㅜㅜㅜㅜㅜ
156,유정이 설이한테 말하는거 꼭 유정 어렸을때 유정 아빠가 하던 말같음.....
157,아 역시 줄리아 희대의 아×리 파이터다 다리몽둥이때부터 알아봤어
158,가우리먼저 먹이고 먹는거봐 ㅋㅋㅋ졸렬킹 그래도 멋짐
159,한설이 암주 입에 손 넣는거 설마 태하 혀 뽑힌 거 그거 갚아주려 하는건가....ㄷㄷㄷ
160,이제 도운이가 표정이 풍부해졌고 홍련이가 무표정해졌네. 왠지 보기 즐겁다
161,유연파는 조용히 고개를 들어주세요
162,비나가 너무 대단한 능력자라 단이가 좀더 기가 죽는 거 같다 넌 아직 애기고 그냥 스스로 행복해지는 거에 집중하면 되는데 ㅠㅠ 애들한테 너무 기대하는 티를 내면 안 되는데 제대로된 어른들을 이제서야 만난 단이가 잘 성장했음 좋겠다
163,설이 손으로 정이 눈 가려주는구 진짜 쏘스윗 유정이 반할만
164,오늘 봉원이 질투 실화입니까...?? 이게 나라다
165,"그러게요 ㅋㅋ 그 말 잘 듣던 적성인데, 보고서 쓰라니까 땀 흘리네요 ㅋㅋ

보고서는 적성이 아닌 듯"
166,꼬마야 저 하얀머리 아저씨 살짝 쳐봐 그럼 니가 이겨
167,마음까지 따뜻해질것같은 할머니의 꽃차 나도 마셔보고싶다.
168,진심 눈이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 반드시 호감을 얻고야 말겠어라는 눈빛인뎈ㅋㅋㅋㅋㅋ
169,조준잘하네..나였으면 실수로 찔렀다
170,피콕 야수화 여러버젼 있는거보고 멋있어서 박수치다가 하마에서 순간 벙찜 
171,홍설 진짜 백인하한테 저만큼 개기는사람 유정 백인호 외엔 홍설이 유일한듯 ........
172,월요일아침같은년
173,웅이열리네요~
174,원래 이상형이랑은 못만나는법이야 그러니까 담이랑 어르신이랑 사귀자♡
175,와 대박 전에 유미가 sns에서 츄러스 맜있다고 해서 그거 본거 그억하고 츄러스 사온거자나요 구웅 심쿠웅♥
176,"민우가 낯이 익은 이유는 민우 친구가 괴롭힘당할때 같이있던 무리에서 봐서 그런거 같고, 중열이도 물들은거같네요..."
177,“우리끼리다니니까 너무 좋은것같아” 뜻: 대가리 굴려 허튼짓 하지 말고 얌전히다녀라^^
178,모든웹툰원탑이다 ㅇㅈ?
179,"ㅋㅋㅋㅋ 정작 자기좋아하는건
모르는 명탐정유미ㅋㅋㅋㅋㅋ"
180,고시원 사람들 레알 사람 좋다
181,앜ㅋㅋㅋㅋㅋㅋ 사람 면전에다 얼굴때메 울면 어떡햌ㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋ
182,ㅋㅋㅋㅋㅋㅋㅋ저게 귀엽다고? 미친사람이다 조심하잨ㅋㅋㅋㅋㅋ아개웃겨진짜
183,견우 질투하고 부끄러워 하는 거 왜 이렇게 귀엽지ㅜㅜ 견우야 하고 싶은 거 다 해ㅜㅜ
184,"집사 .. 정말 돈으로 만들어진 관계는 무섭다. 
걱정 1도 없네"
185,와 주인도 주인아빠도 배우신분이네
186,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유미표정봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ작가님 센스짱..
187,이런 전개 아주 괜찮네요
188,깜장이 살리기 시위운동(1/999999999)
189,확실히 주인공이 답답하지 않고 속물적일 땐 확실하게 보여주니 매력이 더 넘치는 듯
190,아이언맨의 탄생
191,"보람씨 멋있다
누가뭐래도 자기몸매에 불만없고
자존감이 높으니깐 만화 속 성격만 봐도 
사랑스러울것 같음"
192,중딩때 당구장에서 흑산포 썼다가 사장님한테 혼났는데..
193,작가님 춘배티콘 출시가 시급합니다 ㅠㅜㅠㅠㅠ 시리즈 나올 때 마다 제일 먼저 살 자신 있으니가 제발 내주세요 ㅠㅜㅠ 너무 큐티뽀짝하긔 ㅠㅠㅜ
194,오~ 완전 선수같애ㅋㅋㅋㅋㅋㅋㅋㅋ
195,족보전쟁 시작이네
196,헉 새친구 사귀는건가?!?!!!  현아!!!!
197,연화가 대체 왜 이무기한테 호감을 가지나 했는데 연화도 선녀로서 자격미달 소리를 들어서 이무기에게 동질감을 느꼈던 거군요...... 근데 아직 좀 부족한 것 같은 느낌인데 작가님이 더 풀어 주시겠죠......? 참 강유랑 우암 팔짱 잘봤어요 작가님 덕분에 제 옆구리는 오늘따라 시립니다 흑
198,하난이 충신이었구나....근데 왜 쥐를 먹인거야ㅜㅠㅜㅜ 잘못한게 뭐가 있다구ㅜㅜ
199,유정선수 십점 만점에 백점 드립니다ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
200,자영이는 일과 사랑에 빠진거였네요...
201,유한라:좋아 지금부터 게임을 시작하지
202,"용비불패 스무번은 봤음직한데도 홍예몽을 처음 만났을 때의 저 장면을 주의깊게 본 적 없었는데, 죽은자들이 휘감고 있던 용비에게서 처음으로 죽음의 기운을 걷어내고 빛이 되어준 사람이 홍예몽이었구나. 캬..."
